"source_file","logical_output","dataset","variable","finding_type","severity","matched_values","example","detail"
"aihw-nacdc/madipge-aged-care-d-agedrecipient-15-current--aged_recipient_oct2024.parquet","madipge-aged-care-d-agedrecipient-15-current--aged_recipient_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-agedservice-15-current--aged_service_jun2024.parquet","madipge-aged-care-d-agedservice-15-current--aged_service_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-agedservice-15-current--aged_service_oct2024.parquet","madipge-aged-care-d-agedservice-15-current--aged_service_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-chsp-16-current--chsp_episode_2024.parquet","madipge-aged-care-d-chsp-16-current--chsp_episode_2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-12-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-hcp-15-current--hcp_assessment_jun2024.parquet","madipge-aged-care-d-hcp-15-current--hcp_assessment_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-hcp-15-current--hcp_assessment_oct2024.parquet","madipge-aged-care-d-hcp-15-current--hcp_assessment_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-hcp-15-current--hcp_episode_jun2024.parquet","madipge-aged-care-d-hcp-15-current--hcp_episode_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-hcp-15-current--hcp_episode_oct2024.parquet","madipge-aged-care-d-hcp-15-current--hcp_episode_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-hcp-15-current--hcp_leave_jun2024.parquet","madipge-aged-care-d-hcp-15-current--hcp_leave_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-hcp-15-current--hcp_leave_oct2024.parquet","madipge-aged-care-d-hcp-15-current--hcp_leave_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-rac-15-current--rac_episode_jun2024.parquet","madipge-aged-care-d-rac-15-current--rac_episode_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-rac-15-current--rac_episode_oct2024.parquet","madipge-aged-care-d-rac-15-current--rac_episode_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-rac-15-current--rac_leave_jun2024.parquet","madipge-aged-care-d-rac-15-current--rac_leave_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-rac-15-current--rac_leave_oct2024.parquet","madipge-aged-care-d-rac-15-current--rac_leave_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-tcp-15-current--tcp_episode_jun2024.parquet","madipge-aged-care-d-tcp-15-current--tcp_episode_jun2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"aihw-nacdc/madipge-aged-care-d-tcp-15-current--tcp_episode_oct2024.parquet","madipge-aged-care-d-tcp-15-current--tcp_episode_oct2024","NACDC","REFERENCE_DATE","generic_2024_date_range","warning",100,"2024-10-31","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed--apsed_acting_classifications.parquet","pmp-apsed--apsed_acting_classifications","APSED","SNAPSHOT_DATE","generic_2024_date_range","warning",100,"2024-01-01","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed--apsed_disability.parquet","pmp-apsed--apsed_disability","APSED","DATECHANGED","generic_2024_date_range","warning",100,"2024-01-03","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed--apsed_highest_education.parquet","pmp-apsed--apsed_highest_education","APSED","HIGHEST_EDUCATION_YEAR_COMPLETED","generic_fixed_year","warning",100,"2024","All non-missing year values use the lightweight fallback year."
"apsc-apsed/pmp-apsed--apsed_jobfamily.parquet","pmp-apsed--apsed_jobfamily","APSED","SNAPSHOT_DATE","generic_2024_date_range","warning",100,"2024-01-01","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed--apsed_leave.parquet","pmp-apsed--apsed_leave","APSED","SNAPSHOT_DATE","generic_2024_date_range","warning",100,"2024-01-01","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed--apsed_movements.parquet","pmp-apsed--apsed_movements","APSED","MOVEMENT_END_DATE","generic_2024_date_range","warning",100,"2024-07-19","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed--apsed_movements.parquet","pmp-apsed--apsed_movements","APSED","MOVEMENT_START_DATE","generic_2024_date_range","warning",100,"2024-01-01","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed/part-000.parquet","pmp-apsed","APSED","SNAPSHOT_DATE","generic_2024_date_range","warning",3,"2024-06-30","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed/part-000.parquet","pmp-apsed","APSED","MOVEMENT_END_DATE","generic_2024_date_range","warning",3,"2024-03-06","All parseable dates fall in 2024; verify the source reference period."
"apsc-apsed/pmp-apsed/part-000.parquet","pmp-apsed","APSED","MOVEMENT_START_DATE","generic_2024_date_range","warning",3,"2024-01-30","All parseable dates fall in 2024; verify the source reference period."
"ato-busown/madipge-ato-d-business-owners-fy2324--ato_partnership_fy2324_12m.parquet","madipge-ato-d-business-owners-fy2324--ato_partnership_fy2324_12m","BUSOWN","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-busown/madipge-ato-d-business-owners-fy2324--ato_sole_trader_fy2324_12m.parquet","madipge-ato-d-business-owners-fy2324--ato_sole_trader_fy2324_12m","BUSOWN","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-pit_ie/madipge-ato-d-pit-income-edited-fy2324--plida_income_edited_2324_12m.parquet","madipge-ato-d-pit-income-edited-fy2324--plida_income_edited_2324_12m","PIT_IE","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-pit_itr/madipge-ato-d-context-fy2324--ato_itr_context_2324_12m.parquet","madipge-ato-d-context-fy2324--ato_itr_context_2324_12m","PIT_ITR","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-pit_itr/madipge-ato-d-context-fy2324--ato_itr_context_2324_12m.parquet","madipge-ato-d-context-fy2324--ato_itr_context_2324_12m","PIT_ITR","INCM_YR","generic_fixed_year","warning",100,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-context-fy2324/part-000.parquet","madipge-ato-d-context-fy2324","PIT_ITR","INCM_YR","generic_fixed_year","warning",201,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-ded-exp-off-fy2324--ato_itr_ded_exp_off_2324_12m.parquet","madipge-ato-d-ded-exp-off-fy2324--ato_itr_ded_exp_off_2324_12m","PIT_ITR","INCM_YR","generic_fixed_year","warning",100,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-ded-exp-off-fy2324/part-000.parquet","madipge-ato-d-ded-exp-off-fy2324","PIT_ITR","INCM_YR","generic_fixed_year","warning",201,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-inc-loss-fy2324--ato_itr_inc_loss_2324_12m.parquet","madipge-ato-d-inc-loss-fy2324--ato_itr_inc_loss_2324_12m","PIT_ITR","INCM_YR","generic_fixed_year","warning",100,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-inc-loss-fy2324/part-000.parquet","madipge-ato-d-inc-loss-fy2324","PIT_ITR","INCM_YR","generic_fixed_year","warning",201,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-pay-sum-fy2324--plida_ps_2324_12m_bn.parquet","madipge-ato-d-pay-sum-fy2324--plida_ps_2324_12m_bn","PIT_ITR","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-pit_itr/madipge-ato-d-pay-sum-fy2324--plida_ps_2324_12m_bn.parquet","madipge-ato-d-pay-sum-fy2324--plida_ps_2324_12m_bn","PIT_ITR","INCM_YR","generic_fixed_year","warning",100,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-pay-sum-fy2324--plida_ps_2324_12m_bn.parquet","madipge-ato-d-pay-sum-fy2324--plida_ps_2324_12m_bn","PIT_ITR","PERD_END_DT","generic_2024_date_range","warning",100,"2024-01-18","All parseable dates fall in 2024; verify the source reference period."
"ato-pit_itr/madipge-ato-d-whld-debt-fy2324--ato_itr_whld_debt_2324_12m.parquet","madipge-ato-d-whld-debt-fy2324--ato_itr_whld_debt_2324_12m","PIT_ITR","INCM_YR","generic_fixed_year","warning",100,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-whld-debt-fy2324/part-000.parquet","madipge-ato-d-whld-debt-fy2324","PIT_ITR","INCM_YR","generic_fixed_year","warning",201,"2024","All non-missing year values use the lightweight fallback year."
"ato-pit_itr/madipge-ato-d-ws-fy2324--plida_itr_ws_2324_12m_bn.parquet","madipge-ato-d-ws-fy2324--plida_itr_ws_2324_12m_bn","PIT_ITR","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-pit_ps/madipge-ato-d-pay-sum-fy2324/part-000.parquet","madipge-ato-d-pay-sum-fy2324","PIT_ITR","FINANCIAL_YEAR","generic_fixed_year","warning",260,"2024","All non-missing year values use the lightweight fallback year."
"ato-sae/madipmp-ato-maasmats-2023-24--plida_maasmats_2324_12m.parquet","madipmp-ato-maasmats-2023-24--plida_maasmats_2324_12m","SAE","FIN_YEAR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_etp_2023_24.parquet","pmp-stp-extended--stp_extended_etp_2023_24","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",6,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_etp_2023-24.parquet","pmp-stp-extended--stp_extended_etp_2023-24","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_jobs_2023_24.parquet","pmp-stp-extended--stp_extended_jobs_2023_24","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_jobs_2023-24.parquet","pmp-stp-extended--stp_extended_jobs_2023-24","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_jobs_2023-24.parquet","pmp-stp-extended--stp_extended_jobs_2023-24","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-01-18","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2023_m07.parquet","pmp-stp-extended--stp_extended_pay_events_2023_m07","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2023_m08.parquet","pmp-stp-extended--stp_extended_pay_events_2023_m08","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2023_m09.parquet","pmp-stp-extended--stp_extended_pay_events_2023_m09","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2023_m10.parquet","pmp-stp-extended--stp_extended_pay_events_2023_m10","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2023_m11.parquet","pmp-stp-extended--stp_extended_pay_events_2023_m11","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2023_m12.parquet","pmp-stp-extended--stp_extended_pay_events_2023_m12","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m01.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m01","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-01-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m01.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m01","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m01.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m01","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-01-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m02.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m02","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-01-27","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m02.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m02","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-01-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m02.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m02","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-02-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m02.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m02","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m03.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m03","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-02-25","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m03.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m03","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-02-15","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m03.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m03","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-03-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m03.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m03","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m03.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m03","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-03-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m04.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m04","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-03-27","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m04.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m04","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-03-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m04.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m04","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-04-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m04.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m04","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m04.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m04","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-04-16","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m05.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m05","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-04-26","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m05.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m05","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-04-16","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m05.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m05","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-05-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m05.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m05","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m05.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m05","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-05-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m06.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m06","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-05-27","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m06.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m06","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-05-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m06.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m06","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-06-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m06.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m06","STP","PYRL_FNCL_YR","generic_fixed_financial_year","warning",100,"2023-24","All non-missing financial-year values use the lightweight fallback."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m06.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m06","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-06-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m07.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m07","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-06-26","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m07.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m07","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-06-16","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m07.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m07","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-07-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m07.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m07","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-07-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m08.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m08","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-07-27","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m08.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m08","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-07-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m08.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m08","STP","PMT_DT","generic_2024_date_range","warning",100,"2024-08-01","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m08.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m08","STP","PYR_PYE_RLTNSHP_CESTN_DT","generic_2024_date_range","warning",100,"2024-08-17","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m09.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m09","STP","DRVPAYENDDATE","generic_2024_date_range","warning",100,"2024-08-27","All parseable dates fall in 2024; verify the source reference period."
"ato-stp/pmp-stp-extended--stp_extended_pay_events_2024_m09.parquet","pmp-stp-extended--stp_extended_pay_events_2024_m09","STP","DRVPAYSTARTDATE","generic_2024_date_range","warning",100,"2024-08-17","All parseable dates fall in 2024; verify the source reference period."
