"dataset","variable","official_product","official_table","logical_output","determination","exact_rationale","evidence_source","caveat"
"A&T","COMMENCEMENTTYPESUBCODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","COMMUNICATIONS",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","COMMUNITY_SERVICES_AND_HEALTH",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","CONTACTMETHOD",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","DESCRIPTION",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","FIN_INSUR_AND_BUS_S",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","FURN_LGHT_MNFCTRNG",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","INDUSTRIES",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","ISEQUIVALENT",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","MANUFACTURING_ENGINEERING",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","MINING",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PAYMENTGROUP",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PAYMENTGROUPCODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PAYMENTGROUPDESCRIPTION",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PAYMENTSTATUSCODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PAYMENTTYPECODE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PROCESS_MANUFACTURING",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","PROPERTY_SERVICES",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","QUALCODESUPERCEDEDBY",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","QUALCODESUPERCEDES",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","REGION",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","RETAIL_AND_WHOLESALE",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","SPORT_AND_RECREATION",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","TOURISM",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","TRANSPORT_AND_DISTRIBUTION",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"A&T","UTILITIES_AND_ELCTRTECH",,,,"typed_missing_no_exact_apprentice_codeframe","The public training and AVETMISS sources do not establish the internal apprentice-system codeframe or reference-table value for this field.","NCVER AVETMISS Data element definitions; training.gov.au; R/dil_vet_apprentice_values.R","The field remains typed missing instead of receiving a locally invented code."
"ACLD","IAREA_UR_11","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2011 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","IAREA_UR_16","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","IAREA_UR_16","madipge-acld16-d-person-16-21","acld_1621","madipge-acld16-d-person-16-21--acld_1621","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","IEO_UR_21","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_partly_resolved","The workbook does not enumerate the SEIFA Index of Education and Occupation score. The person spine cannot reconstruct the exact area-level score without a vintage-specific SEIFA lookup.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","MBUCD_11","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2011 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","MBUCD_16","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","MBUCD_16","madipge-acld16-d-person-16-21","acld_1621","madipge-acld16-d-person-16-21--acld_1621","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","MBUCP_11","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2011 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","MBUCP_16","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","MBUCP_16","madipge-acld16-d-person-16-21","acld_1621","madipge-acld16-d-person-16-21--acld_1621","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","POWP_11","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2011 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","POWP_16","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","POWP_16","madipge-acld16-d-person-16-21","acld_1621","madipge-acld16-d-person-16-21--acld_1621","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","RA_UR_11","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2011 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","RA_UR_16","madipge-acld11-d-persons-11-16-21","acld_1121","madipge-acld11-d-persons-11-16-21--acld_1121","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"ACLD","RA_UR_16","madipge-acld16-d-person-16-21","acld_1621","madipge-acld16-d-person-16-21--acld_1621","typed_missing_unresolved","The field needs a 2016 vintage-specific geography or place-of-work code. The checked-in official lookups do not contain that vintage and no defensible crosswalk is available.","https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202011_16_21%20detailed%20microdata.xlsx | https://www.abs.gov.au/statistics/microdata-tablebuilder/available-microdata-tablebuilder/australian-census-longitudinal-dataset/ACLD%202016_21%20detailed%20microdata.xlsx","The required historical geography or SEIFA crosswalk is not available in a checked public source. No code is invented."
"AEDC","COMGEN_1",,,,"typed-missing-proprietary-score","Typed NA_character_. The dictionary names COMGEN_1 but does not publish the licensed subdomain or multiple-strength score formula and required numeric cut-offs.","AEDC 2025 Data Dictionary; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Not a public-definition candidate. Populate only from an authorised scoring specification; do not reuse the synthetic domain proxy."
"AEDC","COMMUNITY",,,,"typed-missing-public-lookup","Typed NA_character_. The exact source omits COMMUNITY, and no AEDC or ABS geography table linked to generated location is imported and linked in the AEDC rule.","AEDC 2025 Data Dictionary; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Candidate after lookup import: use the exact vintage-specific AEDC or ABS geography table linked to generated location. The official reference workbook was not inspected in this audit."
"AEDC","CONSULTTYPE1",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE1, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE10",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE10, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE11",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE11, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE12",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE12, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE13",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE13, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE2",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE2, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE3",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE3, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE4",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE4, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE5",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE5, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE6",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE6, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE7",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE7, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE8",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE8, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","CONSULTTYPE9",,,,"typed-missing-unverified-legacy-code","Typed NA_character_. The exact source omits CONSULTTYPE9, and the 2025 dictionary does not define the 13 legacy fields or their stored checkbox codes.","2024 EDI questionnaire P3 and P4; PLIDA DIL labels; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public job-title labels are candidates after cycle-specific encoding is confirmed. Do not invent 0/1 values."
"AEDC","COUNTRY",,,,"typed-missing-public-lookup","Typed NA_character_. The exact source omits COUNTRY, and no AEDC country or language reference table is imported and linked in the AEDC rule.","AEDC 2025 Data Dictionary; R/dil_aedc_values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Candidate after lookup import: use the exact vintage-specific AEDC country or language reference table. The official reference workbook was not inspected in this audit."
