dataset,variable,occurrence_count,status,implemented_domain_or_derivation,evidence_source,caveat
"DOMINO","EXT_DOM_REL_ID","5","structural","Stable R-prefixed synthetic external relationship identifier","PLIDA DIL; R/dil_social_employment_values.R","The value preserves identifier shape only. It is not a Services Australia identifier."
"DOMINO","FREQ_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local constant: FTN","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms FTN for this field."
"DOMINO","FTBA_BEN_STATUS","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: CUR; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these benefit-status codes."
"DOMINO","FTBA_TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local constant: FTBA","PLIDA DIL description; R/dil_social_employment_values.R only","The code is a local mnemonic. Keep typed missing without a source value."
"DOMINO","FTBB_BEN_STATUS","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: CUR; SUS","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these benefit-status codes."
"DOMINO","FTBB_TYPE_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local constant: FTBB","PLIDA DIL description; R/dil_social_employment_values.R only","The code is a local mnemonic. Keep typed missing without a source value."
"DOMINO","HSE_ACCOM_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local domain: HOS; FLT; BRD; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table confirms these accommodation codes."
"DOMINO","HSE_HO_CODE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current observed local domain: OWN; MRG; PRV; GOV; OTH","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The helper preserves the local generator domain. A public field codeframe was not found."
"DOMINO","HSE_RENT_TYPE","1","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: PRV or GOV when home ownership matches; otherwise NRP","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","The relation is internally coherent. The codes are not publicly verified."
"DOMINO","IMPRMT_CODE","2","unsupported-codeframe","Exact source column; otherwise NA_character_. Removed local fallback: Current local scale: 1; 2; 3","R/generate_domino.R; inst/internal-docs/variable-evidence-appendices/dss-variable-evidence.qmd","No public DOMINO code table defines the scale meaning."
"DOMINO","INCAP_WK_WRK_HRS","2","structural","Twice spine weekly hours; capped at 30","PLIDA DIL; spine baseline_hours field; R/dil_social_employment_values.R","The derivation assumes a weekly-hours source and applies a local cap."
