"dataset","variable","occurrence_count","status","determination","rule","implemented_domain_or_derivation","evidence_source","caveat"
"AEDC","A1CZ",3,"populated","implemented-public-instrument-rule","AEDC rule gives A1CZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC rule gives A1CZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The meaning and format are public. Counts are synthetic and are not exact decompositions of total absence days."
"AEDC","A1D",6,"populated","implemented-exact-source","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","Exact source uses official 0 zero-days and 1 one-or-more-days indicators.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A1DZ",3,"populated","implemented-public-instrument-rule","AEDC rule gives A1DZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC rule gives A1DZ a one-digit raw absence count only when its paired A1 reason is 1.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The meaning and format are public. Counts are synthetic and are not exact decompositions of total absence days."
"AEDC","A1Z",3,"populated","implemented-public-instrument-rule","AEDC rule maps A1 absence bands to A1Z codes 0 to 4 and deterministically separates zero from one day within A1 code 1.","AEDC rule maps A1 absence bands to A1Z codes 0 to 4 and deterministically separates zero from one day within A1 code 1.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The domain is public. The zero-versus-one split is synthetic because A1 combines those values."
"AEDC","A2",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A3",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A3A",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A3B",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A4",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A4A",3,"populated","implemented-exact-source","Exact source uses official values 0, 1, 88 and the vintage-specific Not applicable code.","Exact source uses official values 0, 1, 88 and the vintage-specific Not applicable code.","AEDC Data Dictionary 2019; AEDC 2025 Data Dictionary; R/dil_aedc_values.R; src/rust/src/aedc.rs; https://www.aedc.gov.au/resources/detail/aedc-data-dictionary-2019 https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Probabilities are synthetic. Cycles through 2018 use 999; later cycles use 99 for Not applicable."
"AEDC","A5",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A6",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A7",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A8",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","A9",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","AGCAMPUSID",1,"structural","implemented-synthetic-identifier","AEDC rule creates a stable prefixed Australian Government campus identifier. Deterministic records share nested groups within a build.","AEDC rule creates a stable prefixed Australian Government campus identifier. Deterministic records share nested groups within a build.","PLIDA DIL variable definition; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R","The value preserves the Australian Government campus relationship and identifier shape only. It is not an operational ID."
"AEDC","AGECAT",3,"populated","implemented-public-derivation","AEDC rule maps AGEINMONTHS to official narrow age codes 0 to 15 using published month cut-points.","AEDC rule maps AGEINMONTHS to official narrow age codes 0 to 15 using published month cut-points.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The codeframe is public. AGEINMONTHS uses a synthetic birth month because Rust input contains birth year only."
"AEDC","AGECUT",3,"populated","implemented-exact-source","Exact source maps age to 0 under 5, 1 age 5 and 2 age 6 or older.","Exact source maps age to 0 under 5, 1 age 5 and 2 age 6 or older.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public domain is exact. Birth month within birth year is synthetic."
"AEDC","AGEGROUP",6,"populated","implemented-public-derivation","AEDC rule maps AGEINMONTHS to official labels <5, 5, 6 and >6.","AEDC rule maps AGEINMONTHS to official labels <5, 5, 6 and >6.","AEDC 2025 Data Dictionary; 2024 EDI questionnaire; R/dil_aedc_values.R; tests/testthat/test-dil-aedc-values.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary https://www.aedc.gov.au/resources/detail/2024-early-development-instrument-questions","The codeframe is public. AGEINMONTHS uses a synthetic birth month."
"AEDC","AGEGROUP3TO7",6,"populated","implemented-exact-source","Exact source stores integer age in years; generated entrants are 4 to 6.","Exact source stores integer age in years; generated entrants are 4 to 6.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The public domain is exact. Birth month within birth year is synthetic."
"AEDC","B1",3,"populated","implemented-exact-source","Exact source uses official ratings 1 to 3, 88 and the vintage-specific Not applicable code.","Exact source uses official ratings 1 to 3, 88 and the vintage-specific Not applicable code.","AEDC Data Dictionary 2019; AEDC 2025 Data Dictionary; R/dil_aedc_values.R; src/rust/src/aedc.rs; https://www.aedc.gov.au/resources/detail/aedc-data-dictionary-2019 https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Probabilities are synthetic. Cycles through 2018 use 999; later cycles use 99 for Not applicable."
"AEDC","B10",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B11",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B12",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B13",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B14",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B15",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B16",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B17",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B18",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B19",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B1A",3,"populated","implemented-public-instrument-rule","AEDC rule gives B1A official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC rule gives B1A official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC Data Dictionary 2019; AEDC 2025 Data Dictionary; R/dil_aedc_values.R; src/rust/src/aedc.rs; https://www.aedc.gov.au/resources/detail/aedc-data-dictionary-2019 https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Ratings are synthetic. Cycles through 2018 use 999; later cycles use 99 for Not applicable."
"AEDC","B1B",3,"populated","implemented-public-instrument-rule","AEDC rule gives B1B official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC rule gives B1B official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC Data Dictionary 2019; AEDC 2025 Data Dictionary; R/dil_aedc_values.R; src/rust/src/aedc.rs; https://www.aedc.gov.au/resources/detail/aedc-data-dictionary-2019 https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Ratings are synthetic. Cycles through 2018 use 999; later cycles use 99 for Not applicable."
"AEDC","B1C",3,"populated","implemented-public-instrument-rule","AEDC rule gives B1C official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC rule gives B1C official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC Data Dictionary 2019; AEDC 2025 Data Dictionary; R/dil_aedc_values.R; src/rust/src/aedc.rs; https://www.aedc.gov.au/resources/detail/aedc-data-dictionary-2019 https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Ratings are synthetic. Cycles through 2018 use 999; later cycles use 99 for Not applicable."
"AEDC","B1D",3,"populated","implemented-public-instrument-rule","AEDC rule gives B1D official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC rule gives B1D official ratings 1 to 3, 88 and the vintage-specific N/A code, with Indigenous, language, state and cycle filters.","AEDC Data Dictionary 2019; AEDC 2025 Data Dictionary; R/dil_aedc_values.R; src/rust/src/aedc.rs; https://www.aedc.gov.au/resources/detail/aedc-data-dictionary-2019 https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","Ratings are synthetic. Cycles through 2018 use 999; later cycles use 99 for Not applicable."
"AEDC","B2",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B20",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B21",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B22",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B23",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B24",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B25",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B26",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B27",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B28",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B29",3,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B3",3,"populated","implemented-exact-source","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","Exact source uses official ordinal responses 1 to 3 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B30",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B31",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
"AEDC","B32",6,"populated","implemented-exact-source","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","Exact source uses official binary development responses 1, 2 and 88, with public structural skips.","AEDC 2025 Data Dictionary; src/rust/src/aedc.rs; R/generate_aedc.R; tests/testthat/test-generate-aedc.R; https://www.aedc.gov.au/resources/detail/aedc-2025-data-dictionary","The domain and skip rule are public. Item probabilities are synthetic and are not calibrated to AEDC microdata."
