"guide","product_area","source_supports","not_found_or_not_proven","guide_file"
"pit","PIT_IE derived income","ABS administrative-income sources support the role of PS and ITR in derived administrative income estimates.","I did not find a public source that validates the current generated edited-income noise model or all component distributions.","pit-dataset-explainer.qmd"
"pit","Superannuation fields","ATO sources distinguish reportable employer superannuation contributions from ordinary compulsory super guarantee amounts.","Generated `SUPER_GUARANTEE` remains local SG-style logic and is not source-equivalent to `PIT_PS/RPRTBL_EMPLYR_SUPER_CNTRBN_AMT`.","pit-dataset-explainer.qmd"
"stp","DIL-shaped STP schema","Local PLIDA metadata proves the generated STP variable names and product/table names used in this package. The representative generated schema has direct metadata matches for all 92 observed STP rows.","Public ATO pages do not prove the local DIL column names one-for-one; use local DIL metadata for exact schema and ATO pages for reporting semantics.","stp-dataset-explainer.qmd"
"stp","Gross pay and PAYG withholding","ATO STP reporting rules support reporting period gross salary/wages and PAYG withholding through pay events.","I did not find public evidence that `INCM_GRS_AMT` and `PMT_SUMRY_TOTL_GRS_PMT_AMT` should always be equal; their equality is current local generator behaviour only.","stp-dataset-explainer.qmd"
"stp","Phase 1 versus Phase 2 payment detail","ATO Phase 2 guidance supports the distinction that Phase 2 disaggregates gross into more separately itemised components.","The current local STP product should not be described as observing Phase 2 bonus, overtime, paid-leave, salary-sacrifice, or hours variables unless those DIL fields are actually present.","stp-dataset-explainer.qmd"
"stp","Earnings concepts","ABS AWE/EEH/Characteristics of Employment methodologies support the warning that survey earnings concepts differ from raw STP pay-event fields.","I did not find a source that makes STP pay-event gross equivalent to AWOTE, OTE, hourly wages, or full-time adult ordinary-time earnings.","stp-dataset-explainer.qmd"
"vet-apprentice","TVA","NCVER collection pages and AVETMISS data-element definitions are the official anchors for TVA element definitions and many VET code-list checks.","The guide still needs exact AVETMISS element citations attached to each generated TVA category before labels are promoted; state-code formatting also needs tightening. See `vet-apprentice-variable-code-evidence.csv` for row-level status.","vet-apprentice-dataset-explainer.qmd"
"vet-apprentice","Apprentice and trainee","DEWR pages support program context, and local metadata gives same-dataset A&T concept matches for compact generated fields.","I did not find a public A&T variable-level codebook in this pass for generated status weights, qualification-level weights, or all compact category labels. See `vet-apprentice-variable-code-evidence.csv` for row-level status.","vet-apprentice-dataset-explainer.qmd"
"vital-events","Births","ABS Births methodology supports scope, registration source, registration timing caveats, and the role of state and territory Registrars of Births, Deaths and Marriages.","I did not find exact ABS/AIHW source tables in this pass for generated birthweight, multiple-birth-rate, maternal-age, or paternity distribution targets.","vital-events-dataset-explainer.qmd"
"vital-events","Deaths","ABS Deaths methodology supports death-registration scope and legal registration context.","I did not find exact source tables for generated mortality-age or place/certifier category distributions.","vital-events-dataset-explainer.qmd"
"vital-events","Causes of death","ABS Causes of Death methodology is the official anchor for ICD/cause coding context.","The generated UCOD and entity-code distributions still need validation against an ICD-10 code list and official cause distribution tables.","vital-events-dataset-explainer.qmd"
